wg_thick_um,coupling_gap_um,wg_width_um,delta_w_um,wg_width_left_um,wg_width_right_um,is_asymmetric,delta_w_reached,delta_w_brackets,delta_w_abs_err,delta_w_rel_err,delta_w_refine_used,eta_te_1550,eta_tm_1550,DeltaEta_1550,Vbar_te,Vbar_tm,Vbar_avg,DeltaEta_avg,sigma_tol,Lc,coupling_trim_factor,Score
0.270000,0.265000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.479050,0.498782,0.019732,0.996512,0.999788,0.998150,0.018620,0.000000,10.036172,0.000000,0.910730
0.270000,0.250000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.467692,0.484563,0.016871,0.991890,0.997807,0.994849,0.015720,0.000000,10.658010,0.000000,0.910119
0.270000,0.255000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.472725,0.492705,0.019981,0.993966,0.999198,0.996582,0.018955,0.000000,9.727575,0.000000,0.910035
0.270000,0.255000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.472135,0.492191,0.020056,0.993717,0.999136,0.996427,0.019020,0.000000,9.684677,0.000000,0.909963
0.275000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.466282,0.484784,0.018502,0.991022,0.997777,0.994400,0.017441,0.000000,9.929208,0.000000,0.909871
0.275000,0.255000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.474326,0.495227,0.020901,0.994876,0.999635,0.997255,0.019741,0.000000,10.004370,0.000000,0.907751
0.270000,0.260000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.479574,0.501987,0.022413,0.996659,0.999817,0.998238,0.021311,0.000000,9.751339,0.000000,0.906859
0.270000,0.260000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.476478,0.499186,0.022709,0.995622,0.999821,0.997722,0.021583,0.000000,9.949139,0.000000,0.904810
0.270000,0.250000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.471678,0.495191,0.023513,0.993510,0.999487,0.996499,0.022455,0.000000,9.671252,0.000000,0.903233
0.270000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.468478,0.491742,0.023264,0.992062,0.999113,0.995587,0.022166,0.000000,9.802390,0.000000,0.902242
0.270000,0.255000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475524,0.501540,0.026016,0.995262,0.999847,0.997555,0.024874,0.000000,9.875852,0.000000,0.898428
0.270000,0.265000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.516120,0.479233,0.036887,0.996845,0.996725,0.996785,0.038744,0.000000,12.778083,0.000000,0.855407
0.280000,0.265000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.572495,0.488993,0.083502,0.953895,0.999104,0.976500,0.085472,0.000000,13.566624,0.000000,0.737722
0.265000,0.245000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.604304,0.381184,0.223120,0.916119,0.893982,0.905050,0.222792,0.000000,22.194693,0.000000,0.348493
0.265000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.604421,0.380344,0.224077,0.915921,0.892527,0.904224,0.223775,0.000000,22.227651,0.000000,0.345535
