w_um,g_um,t_um,sign_change,sign_samples,sign_skipped,bracket_start_um,bracket_end_um,delta_w_star_um,abs_err_um,rel_err,n_brackets,tolerance_met,usable_zero,fallback_reason,best_sample_abs_err_um,best_sample_dw_um,ranking_score,L50_te_um,L50_tm_um
1.08,0.32,0.28,True,61,0,0.2700000000000005,0.2800000000000005,0.21648812901554712,0.12093106107075968,0.009393078344072667,1,True,True,success,0.014600451356814759,0.2500000000000005,0.12093106107075968,12.814021047879145,12.934952108949904
1.11,0.32,0.28,True,61,0,0.2700000000000005,0.2800000000000005,0.32860905628857806,0.12136888382892153,0.009614905537520063,1,True,True,success,0.00013664143301461706,0.2700000000000005,0.12136888382892153,12.56230840552497,12.683677289353891
1.09,0.3,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.40910313712476176,0.1582441928936742,0.015877478511560596,1,False,False,L50 mismatch 0.158 µm (rel 1.59%),0.06284700110442643,0.20000000000000046,1.1582441928936742,9.887459988892127,10.045704181785801
1.11,0.29,0.28,True,61,0,0.2500000000000005,0.2600000000000005,0.30726005673911416,0.46819556112123806,0.03995151011397417,1,False,False,L50 mismatch 0.468 µm (rel 4.00%),0.030157255171639363,-0.15999999999999986,1.468195561121238,11.484997687559707,11.953193248680945
1.12,0.3,0.28,True,61,0,0.2500000000000005,0.2600000000000005,0.2565628891556086,0.9532922048749786,0.08020764897943507,1,False,False,L50 mismatch 0.953 µm (rel 8.02%),0.048328197402055295,-0.23999999999999994,1.9532922048749786,12.36194902559634,11.408656820721362
1.05,0.27,0.28,True,61,0,0.2400000000000005,0.2500000000000005,0.15207236672732816,0.005596653708892063,0.0004830143728297763,0,True,False,solver could not retain bracket,0.0317461832135848,-0.0899999999999998,10.005596653708892,11.589728289421902,11.58413163571301
1.12,0.27,0.28,True,61,0,0.22000000000000047,0.23000000000000048,-0.23919810946375022,0.014851462151854733,0.0013158646736941473,0,True,False,solver could not retain bracket,0.008761561612084634,0.23000000000000048,10.014851462151855,11.279040460132675,11.29389192228453
1.11,0.3,0.28,True,61,0,0.2500000000000005,0.2600000000000005,-0.2749613583937286,0.01487741155371225,0.001241373377059493,0,True,False,solver could not retain bracket,0.014663445779524054,0.16000000000000042,10.014877411553712,11.977200105273823,11.992077516827536
1.14,0.27,0.28,True,61,0,0.2400000000000005,0.2500000000000005,-0.2641387554534019,0.020580115741068994,0.0017214751240806122,0,True,False,solver could not retain bracket,0.04752862169389083,-0.17999999999999988,10.020580115741069,11.94464060199608,11.965220717737148
1.07,0.29,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.19781160572902207,0.026838687988863796,0.002429355689532629,0,True,False,solver could not retain bracket,0.014081404126359942,0.21000000000000046,10.026838687988864,11.061076179304187,11.034237491315324
1.08,0.3,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.17450869520714965,0.030397980049187368,0.0029086795266935143,0,True,False,solver could not retain bracket,0.014590340644893729,0.22000000000000047,10.030397980049187,10.465982505437422,10.435584525388235
1.09,0.32,0.28,True,61,0,0.2700000000000005,0.2800000000000005,0.10314758870118512,0.03391635553913197,0.0026344175738639564,0,True,False,solver could not retain bracket,0.004237799115802687,0.11000000000000038,10.033916355539132,12.857369672004882,12.891286027544014
1.09,0.27,0.28,True,61,0,0.2400000000000005,0.2500000000000005,0.23056618008126295,0.034180964073566855,0.0030392451351960834,0,True,False,solver could not retain bracket,0.04972228439177684,0.22000000000000047,10.034180964073567,11.22944033501809,11.263621299091657
